HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Bordeaux,Nantes,5,6,1,1,2,3,10,15,2,3,1,0,0,0,D
Dijon,Angers,9,12,1,4,3,9,15,8,0,0,0,0,0,1,A
Lille,Rennes,5,16,1,3,4,2,12,16,0,1,1,1,1,0,D
Monaco,Reims,22,9,5,3,8,1,8,14,1,3,0,0,1,2,D
Lorient,Strasbourg,10,7,7,1,6,1,17,10,3,2,0,0,0,1,H
Nimes,Brest,12,10,5,3,4,4,14,17,2,3,0,1,2,0,H
Nice,Lens,4,17,2,4,1,7,17,18,2,3,0,0,1,1,H
Lyon,Dijon,27,6,12,2,13,2,12,7,3,3,0,0,3,1,H
Rennes,Montpellier,16,11,7,3,2,1,18,16,3,2,1,1,1,0,H
Strasbourg,Nice,6,3,0,2,3,1,14,11,2,6,0,0,0,1,A
Reims,Lille,4,10,0,3,1,2,20,11,4,1,0,0,0,1,A
Angers,Bordeaux,12,7,2,7,5,7,12,19,1,3,0,0,0,2,A
Metz,Monaco,14,3,4,2,10,1,14,20,0,5,0,1,0,1,A
Nantes,Nimes,8,17,5,9,4,8,16,9,3,2,2,0,2,0,H
St Etienne,Lorient,13,6,5,1,2,5,14,23,2,1,0,0,1,0,H
Brest,Marseille,19,7,4,4,10,2,17,13,2,4,0,0,1,2,A
Lens,Paris SG,7,8,3,1,4,2,21,10,2,2,0,0,0,0,H
Bordeaux,Lyon,5,20,0,3,4,5,12,19,2,3,0,0,0,0,D
Montpellier,Nice,20,9,13,1,8,9,17,16,0,2,0,0,1,0,H
St Etienne,Strasbourg,10,14,4,7,6,3,13,19,1,3,0,0,0,0,H
Lille,Metz,16,5,6,1,8,3,12,14,4,4,0,0,0,0,H
Angers,Reims,20,7,7,2,1,2,12,12,4,2,1,1,0,0,H
Dijon,Brest,7,19,3,5,5,7,16,16,2,0,1,0,0,1,A
Lorient,Lens,6,12,3,6,4,2,20,16,4,3,0,1,1,2,A
Nimes,Rennes,17,10,9,6,8,4,17,13,2,6,0,0,1,2,A
Monaco,Nantes,18,7,5,2,9,4,14,11,3,1,0,0,1,0,H
Paris SG,Marseille,14,5,4,2,4,2,17,19,6,8,3,2,0,1,A
Montpellier,Lyon,10,19,3,7,4,11,13,13,3,2,1,1,1,0,H
Paris SG,Metz,20,7,8,1,8,2,8,6,3,2,1,0,0,0,H
Marseille,St Etienne,13,12,2,5,7,6,13,15,2,2,0,0,0,1,A
Lyon,Nimes,16,10,3,3,9,2,18,12,3,2,0,0,0,0,D
Lens,Bordeaux,19,7,5,3,7,0,15,15,5,5,0,1,0,0,H
Rennes,Monaco,14,14,3,2,9,10,11,11,1,2,0,0,0,1,H
Nice,Paris SG,14,14,5,6,4,7,9,9,1,2,0,0,0,2,A
Brest,Lorient,14,9,6,4,4,6,20,13,2,1,0,0,2,1,H
Metz,Reims,14,10,4,4,8,5,14,7,1,4,0,1,1,1,H
Montpellier,Angers,14,14,9,3,6,3,14,5,4,3,0,0,2,1,H
Strasbourg,Dijon,17,6,6,2,8,2,10,16,1,1,0,0,0,0,H
Nantes,St Etienne,15,6,3,4,4,2,12,17,2,2,0,0,0,1,D
Marseille,Lille,11,14,2,7,5,4,12,18,3,3,0,0,0,0,D
Lille,Nantes,12,12,4,6,4,7,16,12,0,2,0,0,1,0,H
St Etienne,Rennes,6,10,4,6,6,4,11,12,1,1,0,0,0,1,A
Marseille,Metz,17,14,3,3,5,5,15,11,0,2,0,0,0,0,D
Bordeaux,Nice,18,13,5,2,7,7,9,15,1,1,0,0,0,0,D
Angers,Brest,12,14,5,6,6,1,17,21,3,2,0,0,1,2,H
Dijon,Montpellier,15,14,6,5,6,13,15,11,4,1,0,0,1,0,D
